,Municipio,Total,Año
761,"Ixtacuixtla de Mariano Matamoros, Tlax.",1473,2021
762,"Ixtenco, Tlax.",8,2021
763,"Mazatecochco de José María Morelos, Tlax.",22,2021
764,"Muñoz de Domingo Arenas, Tlax.",2,2021
765,"Papalotla de Xicohténcatl, Tlax.",36,2021
766,"San José Teacalco, Tlax.",14,2021
767,"San Pablo del Monte, Tlax.",135,2021
768,"Sanctórum de Lázaro Cárdenas, Tlax.",237,2021
769,"Santa Apolonia Teacalco, Tlax.",4,2021
770,"Tetla de la Solidaridad, Tlax.",3,2021
771,"Tlaxcala, Tlax.",540,2021
772,"Tlaxco, Tlax.",1584,2021
773,"Tocatlán, Tlax.",408,2021
774,"Tzompantepec, Tlax.",5,2021
775,"Yauhquemehcan, Tlax.",41,2021
776,"Zacatelco, Tlax.",4,2021
779,"Acayucan, Ver.",14530,2021
780,"Agua Dulce, Ver.",7,2021
781,"Alvarado, Ver.",132,2021
782,"Atoyac, Ver.",43,2021
783,"Carlos A. Carrillo, Ver.",12,2021
784,"Catemaco, Ver.",4,2021
785,"Coatzacoalcos, Ver.",427,2021
786,"Córdoba, Ver.",210,2021
787,"Cosamaloapan de Carpio, Ver.",281,2021
788,"Cosoleacaque, Ver.",317,2021
789,"Cotaxtla, Ver.",86,2021
790,"Cuitláhuac, Ver.",130,2021
791,"El Higo, Ver.",4,2021
792,"Fortín, Ver.",75,2021
793,"Hueyapan de Ocampo, Ver.",5,2021
794,"Ixhuatlán de Madero, Ver.",14,2021
795,"Ixhuatlán del Sureste, Ver.",8,2021
796,"Jesús Carranza, Ver.",5,2021
797,"La Antigua, Ver.",56,2021
798,"Las Choapas, Ver.",560,2021
799,"Martínez de la Torre, Ver.",1,2021
800,"Medellín de Bravo, Ver.",32,2021
801,"Minatitlán, Ver.",53,2021
802,"Moloacán, Ver.",268,2021
803,"Nautla, Ver.",9,2021
804,"Orizaba, Ver.",34,2021
805,"Papantla, Ver.",3,2021
806,"Perote, Ver.",25,2021
807,"Poza Rica de Hidalgo, Ver.",100,2021
808,"Pueblo Viejo, Ver.",52,2021
809,"Río Blanco, Ver.",52,2021
810,"San Andrés Tuxtla, Ver.",141,2021
811,"Sayula de Alemán, Ver.",1073,2021
812,"Soconusco, Ver.",138,2021
813,"Soteapan, Ver.",25,2021
814,"Tampico Alto, Ver.",381,2021
815,"Tecolutla, Ver.",9,2021
816,"Texistepec, Ver.",57,2021
817,"Tierra Blanca, Ver.",22,2021
818,"Tihuatlán, Ver.",7,2021
819,"Tlacotalpan, Ver.",1,2021
820,"Tonayán, Ver.",24,2021
821,"Tuxpan, Ver.",139,2021
822,"Ursulo Galván, Ver.",7,2021
823,"Vega de Alatorre, Ver.",17,2021
824,"Veracruz, Ver.",2035,2021
825,"Villa Aldama, Ver.",2,2021
826,"Xalapa, Ver.",323,2021
829,"Mérida, Yuc.",519,2021
830,"Progreso, Yuc.",1,2021
833,"Fresnillo, Zac.",16,2021
834,"Loreto, Zac.",1,2021
835,"Mazapil, Zac.",14,2021
836,"Zacatecas, Zac.",2938,2021
847,"Aguascalientes, Ags.",321,2022
848,"Cosío, Ags.",12,2022
849,"Jesús María, Ags.",211,2022
852,"Ensenada, BC",81,2022
853,"Mexicali, BC",9172,2022
854,"Playas de Rosarito, BC",14,2022
855,"San Felipe, BC",6,2022
856,"Tecate, BC",8,2022
857,"Tijuana, BC",34723,2022
860,"La Paz, BCS",94,2022
861,"Los Cabos, BCS",36,2022
862,"Mulegé, BCS",1,2022
865,"Calakmul, Camp.",72,2022
866,"Campeche, Camp.",574,2022
867,"Carmen, Camp.",322,2022
868,"Champotón, Camp.",14,2022
869,"Escárcega, Camp.",231,2022
870,"Palizada, Camp.",86,2022
871,"Seybaplaya, Camp.",28,2022
874,"Acapetahua, Chis.",4572,2022
875,"Ángel Albino Corzo, Chis.",24,2022
876,"Arriaga, Chis.",9052,2022
877,"Benemérito de las Américas, Chis.",16,2022
878,"Berriozábal, Chis.",149,2022
879,"Cacahoatán, Chis.",71,2022
880,"Catazajá, Chis.",1259,2022
881,"Chiapa de Corzo, Chis.",1752,2022
882,"Chicomuselo, Chis.",13,2022
883,"Cintalapa de Figueroa, Chis.",1234,2022
884,"Comitán de Domínguez, Chis.",1170,2022
885,"Copainalá, Chis.",30,2022
886,"Escuintla, Chis.",245,2022
887,"Frontera Comalapa, Chis.",3977,2022
888,"Frontera Hidalgo, Chis.",45,2022
889,"Huehuetán, Chis.",8326,2022
890,"Huixtla, Chis.",11276,2022
891,"La Concordia, Chis.",19,2022
892,"La Trinitaria, Chis.",1106,2022
893,"Mapastepec, Chis.",377,2022
894,"Mazatán, Chis.",7,2022
895,"Metapa, Chis.",469,2022
896,"Mezcalapa, Chis.",2309,2022
897,"Motozintla, Chis.",13,2022
898,"Ocozocoautla de Espinosa, Chis.",3239,2022
899,"Palenque, Chis.",9860,2022
900,"Pijijiapan, Chis.",4639,2022
901,"Salto de Agua, Chis.",226,2022
902,"San Cristóbal de las Casas, Chis.",1080,2022
903,"Suchiate, Chis.",28889,2022
904,"Tapachula, Chis.",45672,2022
905,"Tecpatán, Chis.",4,2022
906,"Tonalá, Chis.",270,2022
907,"Tuxtla Chico, Chis.",2853,2022
908,"Tuxtla Gutiérrez, Chis.",6858,2022
909,"Unión Juárez, Chis.",277,2022
910,"Villa Comaltitlán, Chis.",340,2022
911,"Villa Corzo, Chis.",658,2022
912,"Villaflores, Chis.",72,2022
915,"Ascensión, Chih.",563,2022
916,"Chihuahua, Chih.",537,2022
917,"Ignacio Zaragoza, Chih.",1,2022
918,"Janos, Chih.",300,2022
919,"Juárez, Chih.",12025,2022
920,"Ojinaga, Chih.",602,2022
923,"Benito Juárez, CDMX",5,2022
924,"Cuauhtémoc, CDMX",1,2022
925,"Gustavo A. Madero, CDMX",99,2022
926,"Iztapalapa, CDMX",4563,2022
927,"Venustiano Carranza, CDMX",1045,2022
930,"Acuña, Coah.",2367,2022
931,"Allende, Coah.",901,2022
932,"Juárez, Coah.",10,2022
933,"Monclova, Coah.",2452,2022
934,"Piedras Negras, Coah.",20474,2022
935,"Saltillo, Coah.",5056,2022
936,"Torreón, Coah.",2554,2022
939,"Colima, Col.",2,2022
940,"Tecomán, Col.",2,2022
941,"Manzanillo, Col.",1,2022
944,"Durango, Dgo.",157,2022
945,"Gómez Palacio, Dgo.",1439,2022
948,"Acolman, Méx.",102,2022
949,"Amecameca, Méx.",3,2022
950,"Apaxco, Méx.",32,2022
951,"Atlacomulco, Méx.",3,2022
952,"Axapusco, Méx.",3,2022
953,"Chalco, Méx.",1766,2022
954,"Cuautitlán Izcalli, Méx.",6,2022
955,"Cuautitlán, Méx.",49,2022
956,"Ecatepec de Morelos, Méx.",185,2022
957,"Huehuetoca, Méx.",176,2022
958,"Ixtapaluca, Méx.",171,2022
959,"Jilotepec, Méx.",206,2022
960,"La Paz, Méx.",39,2022
961,"Metepec, Méx.",2,2022
962,"Naucalpan de Juárez, Méx.",10,2022
963,"Nezahualcóyotl, Méx.",9,2022
964,"Ocoyoacac, Méx.",5,2022
965,"San Martín de las Pirámides, Méx.",32,2022
966,"Soyaniquilpan de Juárez, Méx.",23,2022
967,"Tepotzotlán, Méx.",1899,2022
968,"Texcoco, Méx.",4,2022
969,"Tianguistenco, Méx.",1,2022
970,"Tlalmanalco, Méx.",3,2022
971,"Tlalnepantla de Baz, Méx.",313,2022
972,"Toluca, Méx.",299,2022
973,"Tultitlán, Méx.",7,2022
976,"Celaya, Gto.",3,2022
977,"Comonfort, Gto.",16,2022
978,"Guanajuato, Gto.",2,2022
979,"Irapuato, Gto.",8,2022
980,"León, Gto.",1,2022
981,"Ocampo, Gto.",2,2022
982,"Salvatierra, Gto.",1,2022
983,"San Diego de la Unión, Gto.",27,2022
984,"San Miguel de Allende, Gto.",826,2022
987,"Acapulco de Juárez, Gro.",36,2022
988,"Chilpancingo de los Bravo, Gro.",25,2022
989,"Cuajinicuilapa, Gro.",1,2022
990,"Huitzuco de los Figueroa, Gro.",2,2022
991,"San Marcos, Gro.",232,2022
992,"Zihuatanejo de Azueta, Gro.",26,2022
995,"Actopan, Hgo.",2,2022
996,"Almoloya, Hgo.",1,2022
997,"Apan, Hgo.",13,2022
998,"Atitalaquia, Hgo.",30,2022
999,"Atotonilco de Tula, Hgo.",32,2022
1000,"Huichapan, Hgo.",106,2022
1001,"Mineral de la Reforma, Hgo.",6,2022
1002,"Nopala de Villagrán, Hgo.",14,2022
1003,"Pachuca de Soto, Hgo.",148,2022
1004,"San Salvador, Hgo.",1,2022
1005,"Singuilucan, Hgo.",1,2022
1006,"Tasquillo, Hgo.",11,2022
1007,"Tepeapulco, Hgo.",671,2022
1008,"Tepeji del Río de Ocampo, Hgo.",429,2022
1009,"Tepetitlán, Hgo.",85,2022
1010,"Tizayuca, Hgo.",35,2022
1011,"Tolcayuca, Hgo.",95,2022
1012,"Tula de Allende, Hgo.",59,2022
1013,"Tulancingo de Bravo, Hgo.",38,2022
1014,"Villa de Tezontepec, Hgo.",146,2022
1015,"Zacualtipán de Ángeles, Hgo.",2,2022
1018,"Arandas, Jal.",1,2022
1019,"El Salto, Jal.",2,2022
1020,"Encarnación de Díaz, Jal.",6,2022
1021,"Guadalajara, Jal.",817,2022
1022,"Magdalena, Jal.",62,2022
1023,"Puerto Vallarta, Jal.",2,2022
1024,"San Pedro Tlaquepaque, Jal.",8,2022
1025,"Tlajomulco de Zúñiga, Jal.",509,2022
1026,"Zapotlanejo, Jal.",270,2022
1029,"Buenavista, Mich.",1,2022
1030,"Charo, Mich.",5,2022
1031,"La Piedad, Mich.",19,2022
1032,"Lázaro Cárdenas, Mich.",14,2022
1033,"Maravatío, Mich.",3,2022
1034,"Morelia, Mich.",115,2022
1035,"Penjamillo, Mich.",20,2022
1036,"Tacámbaro, Mich.",1,2022
1037,"Uruapan, Mich.",3,2022
1040,"Amacuzac, Mor.",4,2022
1041,"Atlatlahucan, Mor.",1,2022
1042,"Ayala, Mor.",6,2022
1043,"Coatlán del Río, Mor.",5,2022
1044,"Cuautla, Mor.",18,2022
1045,"Cuernavaca, Mor.",19,2022
1046,"Emiliano Zapata, Mor.",1,2022
1047,"Jantetelco, Mor.",2,2022
1048,"Jojutla, Mor.",2,2022
1049,"Mazatepec, Mor.",1,2022
1050,"Puente de Ixtla, Mor.",2,2022
1051,"Temixco, Mor.",5,2022
1052,"Tepoztlán, Mor.",1,2022
1053,"Xochitepec, Mor.",3,2022
1056,"Bahía de Banderas, Nay.",2,2022
1057,"Santa María del Oro, Nay.",168,2022
1058,"Tepic, Nay.",161,2022
1061,"Allende, NL",29,2022
1062,"Anáhuac, NL",177,2022
1063,"Apodaca, NL",5164,2022
1064,"Aramberri, NL",19,2022
1065,"Cadereyta Jiménez, NL",1327,2022
1066,"China, NL",217,2022
1067,"Ciénega de Flores, NL",37,2022
1068,"Doctor Arroyo, NL",47,2022
1069,"El Carmen, NL",22,2022
1070,"Galeana, NL",4960,2022
1071,"García, NL",137,2022
1072,"General Bravo, NL",1273,2022
1073,"General Escobedo, NL",330,2022
1074,"General Terán, NL",160,2022
1075,"General Zuazua, NL",97,2022
1076,"Guadalupe, NL",375,2022
1077,"Hidalgo, NL",4,2022
1078,"Juárez, NL",392,2022
1079,"Lampazos de Naranjo, NL",31,2022
1080,"Linares, NL",112,2022
1081,"Los Ramones, NL",112,2022
1082,"Mina, NL",663,2022
1083,"Montemorelos, NL",56,2022
1084,"Monterrey, NL",834,2022
1085,"Pesquería, NL",421,2022
1086,"Sabinas Hidalgo, NL",18,2022
1087,"Salinas Victoria, NL",318,2022
1088,"San Nicolás de los Garza, NL",6,2022
1089,"San Pedro Garza García, NL",1,2022
1090,"Santa Catarina, NL",208,2022
1091,"Santiago, NL",43,2022
1092,"Vallecillo, NL",120,2022
1106,"Acatlán de Pérez Figueroa, Oax.",2,2022
1107,"Asunción Ixtaltepec, Oax.",84,2022
1108,"Asunción Nochixtlán, Oax.",9,2022
1109,"Chahuites, Oax.",109,2022
1110,"Ciudad Ixtepec, Oax.",67,2022
1111,"Heroica Ciudad de Ejutla de Crespo, Oax.",2,2022
1112,"Heroica Ciudad de Huajuapan de León, Oax.",128,2022
1113,"Juchitán de Zaragoza, Oax.",1288,2022
1114,"Loma Bonita, Oax.",1545,2022
1115,"Magdalena Tequisistlán, Oax.",34,2022
1116,"Matías Romero Avendaño, Oax.",307,2022
1117,"Miahuatlán de Porfirio Díaz, Oax.",76,2022
1118,"Oaxaca de Juárez, Oax.",1111,2022
1119,"Ocotlán de Morelos, Oax.",2,2022
1120,"Pinotepa de Don Luis, Oax.",1,2022
1121,"Reforma de Pineda, Oax.",2,2022
1122,"Salina Cruz, Oax.",158,2022
1123,"San Agustín de las Juntas, Oax.",23,2022
1124,"San Antonio de la Cal, Oax.",2,2022
1125,"San Bartolo Coyotepec, Oax.",29,2022
1126,"San Dionisio del Mar, Oax.",19,2022
1127,"San Francisco Telixtlahuaca, Oax.",4,2022
1128,"San Juan Bautista Coixtlahuaca, Oax.",91,2022
1129,"San Juan Bautista Tuxtepec, Oax.",242,2022
1130,"San Juan Guichicovi, Oax.",132,2022
1131,"San Lorenzo Cacaotepec, Oax.",1,2022
1132,"San Pablo Huitzo, Oax.",539,2022
1133,"San Pedro Mixtepec -Dto. 22 -, Oax.",183,2022
1134,"San Pedro Pochutla, Oax.",2,2022
1135,"San Pedro Tapanatepec, Oax.",2521,2022
1136,"San Sebastián Tutla, Oax.",11,2022
1137,"Santa Cruz Xoxocotlán, Oax.",118,2022
1138,"Santa Lucía del Camino, Oax.",19,2022
1139,"Santa María Atzompa, Oax.",1,2022
1140,"Santa María Colotepec, Oax.",1,2022
1141,"Santa María Ecatepec, Oax.",4,2022
1142,"Santa María Huatulco, Oax.",61,2022
1143,"Santa María Jalapa del Marqués, Oax.",817,2022
1144,"Santiago Matatlán, Oax.",14,2022
1145,"Santiago Niltepec, Oax.",317,2022
1146,"Santiago Yaveo, Oax.",5,2022
1147,"Santo Domingo Tehuantepec, Oax.",415,2022
1148,"Santo Domingo Yanhuitlán, Oax.",2,2022
1149,"Santo Domingo Zanatepec, Oax.",11,2022
1150,"Soledad Etla, Oax.",4,2022
1151,"Teotitlán de Flores Magón, Oax.",19,2022
1152,"Teotitlán del Valle, Oax.",21,2022
1153,"Tepelmeme Villa de Morelos, Oax.",75,2022
1154,"Tlacolula de Matamoros, Oax.",298,2022
1155,"Trinidad Zaachila, Oax.",6,2022
1156,"Unión Hidalgo, Oax.",22,2022
1157,"Zimatlán de Álvarez, Oax.",19,2022
1160,"Puebla, Pue.",6713,2022
1161,"Tehuacán, Pue.",3,2022
1162,"Xicotepec, Pue.",1,2022
1165,"Amealco de Bonfil, Qro.",2,2022
1166,"Cadereyta de Montes, Qro.",2,2022
1167,"Colón, Qro.",36,2022
1168,"Corregidora, Qro.",1,2022
1169,"El Marqués, Qro.",61,2022
1170,"Ezequiel Montes, Qro.",2,2022
1171,"Pedro Escobedo, Qro.",152,2022
1172,"Querétaro, Qro.",624,2022
1173,"San Juan del Río, Qro.",1098,2022
1174,"Tequisquiapan, Qro.",3,2022
1175,"Tolimán, Qro.",5,2022
1178,"Benito Juárez, Q. Roo",1107,2022
1179,"Cozumel, Q. Roo",19,2022
1180,"Isla Mujeres, Q. Roo",33,2022
1181,"Othón P. Blanco, Q. Roo",616,2022
1182,"Solidaridad, Q. Roo",147,2022
1183,"Tulum, Q. Roo",8,2022
1186,"San Luis Potosí, SLP",5994,2022
1189,"Ahome, Sin.",48,2022
1190,"Angostura, Sin.",237,2022
1191,"Culiacán, Sin.",173,2022
1192,"Guasave, Sin.",121,2022
1193,"Mazatlán, Sin.",1200,2022
1194,"Rosario, Sin.",44,2022
1197,"Hermosillo, Son.",23080,2022
1198,"Nogales, Son.",6,2022
1199,"Puerto Peñasco, Son.",5,2022
1200,"San Luis Río Colorado, Son.",24,2022
1203,"Balancán, Tab.",161,2022
1204,"Cárdenas, Tab.",821,2022
1205,"Centla, Tab.",104,2022
1206,"Centro, Tab.",20707,2022
1207,"Comalcalco, Tab.",6,2022
1208,"Cunduacán, Tab.",16,2022
1209,"Emiliano Zapata, Tab.",1276,2022
1210,"Huimanguillo, Tab.",14598,2022
1211,"Jalapa, Tab.",341,2022
1212,"Jalpa de Méndez, Tab.",4,2022
1213,"Jonuta, Tab.",27,2022
1214,"Macuspana, Tab.",2291,2022
1215,"Nacajuca, Tab.",32,2022
1216,"Paraíso, Tab.",24,2022
1217,"Tacotalpa, Tab.",387,2022
1218,"Teapa, Tab.",632,2022
1219,"Tenosique, Tab.",5415,2022
1222,"Aldama, Tamps.",92,2022
1223,"Altamira, Tamps.",439,2022
1224,"Antiguo Morelos, Tamps.",233,2022
1225,"Cruillas, Tamps.",121,2022
1226,"El Mante, Tamps.",44,2022
1227,"González, Tamps.",8,2022
1228,"Güémez, Tamps.",8,2022
1229,"Hidalgo, Tamps.",386,2022
1230,"Jaumave, Tamps.",345,2022
1231,"Llera, Tamps.",16,2022
1232,"Matamoros, Tamps.",66,2022
1233,"Miguel Alemán, Tamps.",32,2022
1234,"Nuevo Laredo, Tamps.",521,2022
1235,"Padilla, Tamps.",60,2022
1236,"Reynosa, Tamps.",15142,2022
1237,"Río Bravo, Tamps.",1,2022
1238,"San Fernando, Tamps.",182,2022
1239,"Soto la Marina, Tamps.",7,2022
1240,"Tampico, Tamps.",133,2022
1241,"Tula, Tamps.",11,2022
1242,"Victoria, Tamps.",172,2022
1245,"Apetatitlán de Antonio Carvajal, Tlax.",129,2022
1246,"Apizaco, Tlax.",1271,2022
1247,"Atlangatepec, Tlax.",4,2022
1248,"Calpulalpan, Tlax.",9,2022
1249,"Chiautempan, Tlax.",7,2022
1250,"Contla de Juan Cuamatzi, Tlax.",1,2022
1251,"Cuapiaxtla, Tlax.",49,2022
1252,"Huamantla, Tlax.",34,2022
1253,"Hueyotlipan, Tlax.",18,2022
1254,"Ixtacuixtla de Mariano Matamoros, Tlax.",997,2022
1255,"Ixtenco, Tlax.",1,2022
1256,"La Magdalena Tlaltelulco, Tlax.",27,2022
1257,"Muñoz de Domingo Arenas, Tlax.",5,2022
1258,"Natívitas, Tlax.",1,2022
1259,"Panotla, Tlax.",19,2022
1260,"San Jerónimo Zacualpan, Tlax.",1,2022
1261,"San José Teacalco, Tlax.",6,2022
1262,"San Pablo del Monte, Tlax.",2,2022
1263,"Sanctórum de Lázaro Cárdenas, Tlax.",48,2022
1264,"Santa Cruz Tlaxcala, Tlax.",26,2022
1265,"Tlaxcala, Tlax.",36,2022
1266,"Tlaxco, Tlax.",4,2022
1267,"Tocatlán, Tlax.",5,2022
1268,"Tzompantepec, Tlax.",6,2022
1269,"Xaloztoc, Tlax.",391,2022
1270,"Yauhquemehcan, Tlax.",31,2022
1271,"Zacatelco, Tlax.",434,2022
1274,"Acayucan, Ver.",27028,2022
1275,"Agua Dulce, Ver.",61,2022
1276,"Alvarado, Ver.",96,2022
1277,"Angel R. Cabada, Ver.",5,2022
1278,"Boca del Río, Ver.",8,2022
1279,"Carlos A. Carrillo, Ver.",14,2022
1280,"Catemaco, Ver.",23,2022
1281,"Chacaltianguis, Ver.",4,2022
1282,"Chinameca, Ver.",3,2022
1283,"Coatzacoalcos, Ver.",906,2022
1284,"Córdoba, Ver.",356,2022
1285,"Cosamaloapan de Carpio, Ver.",539,2022
1286,"Cosoleacaque, Ver.",163,2022
1287,"Cotaxtla, Ver.",16,2022
1288,"Cuichapa, Ver.",3,2022
1289,"Cuitláhuac, Ver.",208,2022
1290,"Emiliano Zapata, Ver.",50,2022
1291,"Fortín, Ver.",29,2022
1292,"Gutiérrez Zamora, Ver.",55,2022
1293,"Hueyapan de Ocampo, Ver.",8,2022
1294,"Isla, Ver.",4,2022
1295,"Ixhuatlán del Café, Ver.",13,2022
1296,"Ixtaczoquitlán, Ver.",3,2022
1297,"Jamapa, Ver.",9,2022
1298,"Jesús Carranza, Ver.",48,2022
1299,"Juan Rodríguez Clara, Ver.",33,2022
1300,"La Antigua, Ver.",29,2022
1301,"Las Choapas, Ver.",235,2022
1302,"Las Vigas de Ramírez, Ver.",1,2022
1303,"Lerdo de Tejada, Ver.",34,2022
1304,"Minatitlán, Ver.",202,2022
1305,"Moloacán, Ver.",1272,2022
1306,"Nanchital de Lázaro Cárdenas del Río, Ver.",80,2022
1307,"Nogales, Ver.",10,2022
1308,"Omealca, Ver.",2,2022
1309,"Orizaba, Ver.",581,2022
1310,"Ozuluama de Mascareñas, Ver.",3,2022
1311,"Pánuco, Ver.",17,2022
1312,"Papantla, Ver.",121,2022
1313,"Paso de Ovejas, Ver.",6,2022
1314,"Playa Vicente, Ver.",11,2022
1315,"Poza Rica de Hidalgo, Ver.",24,2022
1316,"Pueblo Viejo, Ver.",1015,2022
1317,"Río Blanco, Ver.",8,2022
1318,"San Andrés Tuxtla, Ver.",64,2022
1319,"San Juan Evangelista, Ver.",4,2022
1320,"Sayula de Alemán, Ver.",129,2022
1321,"Soconusco, Ver.",9,2022
1322,"Soledad de Doblado, Ver.",19,2022
1323,"Tantoyuca, Ver.",4,2022
1324,"Tecolutla, Ver.",21,2022
1325,"Tierra Blanca, Ver.",50,2022
1326,"Tres Valles, Ver.",39,2022
1327,"Tuxpan, Ver.",93,2022
1328,"Veracruz, Ver.",1468,2022
1329,"Xalapa, Ver.",63,2022
1330,"Yanga, Ver.",1,2022
1331,"Zaragoza, Ver.",4,2022
1334,"Chocholá, Yuc.",4,2022
1335,"Halachó, Yuc.",51,2022
1336,"Kanasín, Yuc.",55,2022
1337,"Maxcanú, Yuc.",3,2022
1338,"Mérida, Yuc.",642,2022
1339,"Progreso, Yuc.",71,2022
1340,"Tizimín, Yuc.",1,2022
1341,"Umán, Yuc.",14,2022
1342,"Valladolid, Yuc.",1,2022
1345,"Zacatecas, Zac.",2242,2022
1358,"Aguascalientes, Ags.",44,2023
1359,"Cosío, Ags.",98,2023
1360,"Jesús María, Ags.",399,2023
1361,"San Francisco de los Romo, Ags.",18,2023
1364,"Ensenada, BC",26,2023
1365,"Mexicali, BC",5667,2023
1366,"Playas de Rosarito, BC",38,2023
1367,"San Felipe, BC",5,2023
1368,"San Quintín, BC",3,2023
1369,"Tecate, BC",738,2023
1370,"Tijuana, BC",27405,2023
1373,"La Paz, BCS",346,2023
1374,"Los Cabos, BCS",58,2023
1377,"Calakmul, Camp.",211,2023
1378,"Calkiní, Camp.",1,2023
1379,"Campeche, Camp.",430,2023
1380,"Carmen, Camp.",260,2023
1381,"Champotón, Camp.",149,2023
1382,"Escárcega, Camp.",2524,2023
1383,"Palizada, Camp.",21,2023
1384,"Seybaplaya, Camp.",13,2023
1385,"Tenabo, Camp.",21,2023
1388,"Acacoyagua, Chis.",2,2023
1389,"Acapetahua, Chis.",6320,2023
1390,"Arriaga, Chis.",19741,2023
1391,"Berriozábal, Chis.",141,2023
1392,"Catazajá, Chis.",2052,2023
1393,"Chanal, Chis.",1,2023
1394,"Chiapa de Corzo, Chis.",3578,2023
1395,"Cintalapa de Figueroa, Chis.",520,2023
1396,"Comitán de Domínguez, Chis.",178,2023
1397,"Copainalá, Chis.",7,2023
1398,"Escuintla, Chis.",19,2023
1399,"Frontera Comalapa, Chis.",793,2023
1400,"Frontera Hidalgo, Chis.",1356,2023
1401,"Huehuetán, Chis.",14693,2023
1402,"Huixtla, Chis.",23755,2023
1403,"Jiquipilas, Chis.",743,2023
1404,"La Trinitaria, Chis.",17,2023
1405,"Mapastepec, Chis.",35,2023
1406,"Mezcalapa, Chis.",439,2023
1407,"Motozintla, Chis.",8,2023
1408,"Ocosingo, Chis.",70,2023
1409,"Ocozocoautla de Espinosa, Chis.",1227,2023
1410,"Palenque, Chis.",7730,2023
1411,"Pijijiapan, Chis.",11296,2023
1412,"Salto de Agua, Chis.",9,2023
1413,"San Cristóbal de las Casas, Chis.",700,2023
1414,"Siltepec, Chis.",1,2023
1415,"Suchiate, Chis.",28203,2023
1416,"Tapachula, Chis.",70665,2023
1417,"Teopisca, Chis.",1,2023
1418,"Tonalá, Chis.",230,2023
1419,"Tuxtla Chico, Chis.",19703,2023
1420,"Tuxtla Gutiérrez, Chis.",10266,2023
1421,"Unión Juárez, Chis.",2675,2023
1422,"Villa Comaltitlán, Chis.",1823,2023
1423,"Villa Corzo, Chis.",380,2023
1424,"Villaflores, Chis.",2,2023
1427,"Chihuahua, Chih.",2040,2023
1428,"Janos, Chih.",116,2023
1429,"Juárez, Chih.",7964,2023
1430,"Ojinaga, Chih.",101,2023
1433,"Coyoacán, CDMX",1,2023
1434,"Gustavo A. Madero, CDMX",995,2023
1435,"Iztapalapa, CDMX",6091,2023
1436,"Venustiano Carranza, CDMX",1828,2023
1439,"Acuña, Coah.",1672,2023
1440,"Monclova, Coah.",1204,2023
1441,"Piedras Negras, Coah.",21530,2023
1442,"Saltillo, Coah.",925,2023
1443,"Torreón, Coah.",824,2023
1446,"Colima, Col.",6,2023
1447,"Manzanillo, Col.",10,2023
1448,"Villa de Álvarez, Col.",2,2023
1451,"Durango, Dgo.",574,2023
1452,"Gómez Palacio, Dgo.",849,2023
1453,"Mapimí, Dgo.",23,2023
1456,"Acambay de Ruíz Castañeda, Méx.",1,2023
1457,"Apaxco, Méx.",2474,2023
1458,"Atlacomulco, Méx.",51,2023
1459,"Chalco, Méx.",411,2023
1460,"Cuautitlán, Méx.",3,2023
1461,"Ecatepec de Morelos, Méx.",185,2023
1462,"Huehuetoca, Méx.",349,2023
1463,"Ixtapaluca, Méx.",11,2023
1464,"Naucalpan de Juárez, Méx.",1,2023
1465,"Nezahualcóyotl, Méx.",22,2023
1466,"Ocoyoacac, Méx.",3,2023
1467,"Tecámac, Méx.",2,2023
1468,"Tepotzotlán, Méx.",4934,2023
1469,"Texcoco, Méx.",153,2023
1470,"Tlalnepantla de Baz, Méx.",75,2023
1471,"Toluca, Méx.",754,2023
1472,"Xalatlaco, Méx.",2,2023
1473,"Zumpango, Méx.",155,2023
1476,"Apaseo el Alto, Gto.",1,2023
1477,"Apaseo el Grande, Gto.",22,2023
1478,"Celaya, Gto.",8,2023
1479,"Comonfort, Gto.",29,2023
1480,"Irapuato, Gto.",43,2023
1481,"León, Gto.",3,2023
1482,"Ocampo, Gto.",6,2023
1483,"Salamanca, Gto.",6,2023
1484,"San Luis de la Paz, Gto.",65,2023
1485,"San Miguel de Allende, Gto.",16,2023
1488,"Acapulco de Juárez, Gro.",32,2023
