,Municipio,Total,Año
1489,"Azoyú, Gro.",1023,2023
1490,"Chilpancingo de los Bravo, Gro.",30,2023
1491,"San Marcos, Gro.",379,2023
1492,"Zihuatanejo de Azueta, Gro.",14,2023
1495,"Actopan, Hgo.",2,2023
1496,"Alfajayucan, Hgo.",1,2023
1497,"Apan, Hgo.",5,2023
1498,"Atitalaquia, Hgo.",2,2023
1499,"Chapulhuacán, Hgo.",18,2023
1500,"Emiliano Zapata, Hgo.",1,2023
1501,"Epazoyucan, Hgo.",1,2023
1502,"Huasca de Ocampo, Hgo.",1,2023
1503,"Ixmiquilpan, Hgo.",1,2023
1504,"Mineral de la Reforma, Hgo.",22,2023
1505,"Pachuca de Soto, Hgo.",42,2023
1506,"Tepeapulco, Hgo.",35,2023
1507,"Tepeji del Río de Ocampo, Hgo.",788,2023
1508,"Tizayuca, Hgo.",15,2023
1509,"Tula de Allende, Hgo.",76,2023
1510,"Tulancingo de Bravo, Hgo.",19,2023
1511,"Villa de Tezontepec, Hgo.",17,2023
1514,"El Salto, Jal.",1,2023
1515,"Guadalajara, Jal.",1313,2023
1516,"Tlajomulco de Zúñiga, Jal.",113,2023
1517,"Zapotlán el Grande, Jal.",1,2023
1520,"Álvaro Obregón, Mich.",1,2023
1521,"Apatzingán, Mich.",1,2023
1522,"Buenavista, Mich.",1,2023
1523,"Charo, Mich.",4,2023
1524,"Cuitzeo, Mich.",1,2023
1525,"Lázaro Cárdenas, Mich.",1,2023
1526,"Morelia, Mich.",136,2023
1527,"Uruapan, Mich.",1,2023
1528,"Zinapécuaro, Mich.",176,2023
1531,"Cuautla, Mor.",1,2023
1532,"Cuernavaca, Mor.",19,2023
1533,"Emiliano Zapata, Mor.",4,2023
1534,"Jantetelco, Mor.",3,2023
1535,"Puente de Ixtla, Mor.",8,2023
1536,"Temixco, Mor.",7,2023
1537,"Tepoztlán, Mor.",1,2023
1538,"Xochitepec, Mor.",3,2023
1541,"Bahía de Banderas, Nay.",2,2023
1542,"Tepic, Nay.",219,2023
1545,"Anáhuac, NL",86,2023
1546,"Apodaca, NL",4255,2023
1547,"Aramberri, NL",4,2023
1548,"Cadereyta Jiménez, NL",83,2023
1549,"China, NL",146,2023
1550,"Ciénega de Flores, NL",41,2023
1551,"Doctor Arroyo, NL",11,2023
1552,"El Carmen, NL",35,2023
1553,"Galeana, NL",5394,2023
1554,"García, NL",17,2023
1555,"General Bravo, NL",2056,2023
1556,"General Escobedo, NL",1204,2023
1557,"General Zuazua, NL",35,2023
1558,"Guadalupe, NL",223,2023
1559,"Hualahuises, NL",34,2023
1560,"Juárez, NL",180,2023
1561,"Linares, NL",19,2023
1562,"Los Ramones, NL",7,2023
1563,"Mina, NL",2343,2023
1564,"Montemorelos, NL",1,2023
1565,"Monterrey, NL",446,2023
1566,"Parás, NL",13,2023
1567,"Pesquería, NL",93,2023
1568,"Salinas Victoria, NL",18,2023
1569,"San Nicolás de los Garza, NL",50,2023
1570,"San Pedro Garza García, NL",1,2023
1571,"Santa Catarina, NL",167,2023
1572,"Santiago, NL",23,2023
1586,"Asunción Nochixtlán, Oax.",13,2023
1587,"Chahuites, Oax.",54,2023
1588,"Ciudad Ixtepec, Oax.",10,2023
1589,"Concepción Buenavista, Oax.",25,2023
1590,"El Espinal, Oax.",10,2023
1591,"Heroica Ciudad de Huajuapan de León, Oax.",46,2023
1592,"Juchitán de Zaragoza, Oax.",2625,2023
1593,"Matías Romero Avendaño, Oax.",157,2023
1594,"Miahuatlán de Porfirio Díaz, Oax.",12,2023
1595,"Oaxaca de Juárez, Oax.",1217,2023
1596,"Salina Cruz, Oax.",155,2023
1597,"San Agustín de las Juntas, Oax.",2,2023
1598,"San Andrés Huaxpaltepec, Oax.",31,2023
1599,"San Antonio de la Cal, Oax.",1,2023
1600,"San Bartolo Coyotepec, Oax.",5,2023
1601,"San Bartolo Soyaltepec, Oax.",36,2023
1602,"San Cristóbal Suchixtlahuaca, Oax.",4,2023
1603,"San Dionisio Ocotepec, Oax.",7,2023
1604,"San Francisco Telixtlahuaca, Oax.",49,2023
1605,"San Jacinto Amilpas, Oax.",45,2023
1606,"San José Tenango, Oax.",115,2023
1607,"San Juan Bautista Tuxtepec, Oax.",108,2023
1608,"San Lorenzo Cacaotepec, Oax.",2,2023
1609,"San Pablo Etla, Oax.",35,2023
1610,"San Pablo Huitzo, Oax.",728,2023
1611,"San Pedro Ixtlahuaca, Oax.",1,2023
1612,"San Pedro Mixtepec -Dto. 22 -, Oax.",3,2023
1613,"San Pedro Pochutla, Oax.",36,2023
1614,"San Pedro Tapanatepec, Oax.",283,2023
1615,"San Pedro Totolápam, Oax.",20,2023
1616,"San Sebastián Tutla, Oax.",3,2023
1617,"Santa Cruz Xoxocotlán, Oax.",750,2023
1618,"Santa Lucía del Camino, Oax.",6,2023
1619,"Santa María Atzompa, Oax.",4,2023
1620,"Santa María Coyotepec, Oax.",9,2023
1621,"Santa María del Tule, Oax.",1,2023
1622,"Santa María Huatulco, Oax.",163,2023
1623,"Santa María Jalapa del Marqués, Oax.",1265,2023
1624,"Santa María Mixtequilla, Oax.",37,2023
1625,"Santa María Tonameca, Oax.",1,2023
1626,"Santiago Juxtlahuaca, Oax.",1,2023
1627,"Santiago Niltepec, Oax.",14,2023
1628,"Santiago Pinotepa Nacional, Oax.",7,2023
1629,"Santo Domingo Tehuantepec, Oax.",222,2023
1630,"Santo Domingo Yanhuitlán, Oax.",44,2023
1631,"Tlacolula de Matamoros, Oax.",351,2023
1632,"Trinidad Zaachila, Oax.",1,2023
1633,"Villa de Etla, Oax.",2,2023
1634,"Villa de Tamazulápam del Progreso, Oax.",2,2023
1635,"Villa de Tututepec, Oax.",37,2023
1636,"Villa de Zaachila, Oax.",78,2023
1637,"Villa Tejúpam de la Unión, Oax.",2,2023
1640,"Puebla, Pue.",5069,2023
1643,"Colón, Qro.",16,2023
1644,"Querétaro, Qro.",871,2023
1645,"San Juan del Río, Qro.",1303,2023
1648,"Bacalar, Q. Roo",9,2023
1649,"Benito Juárez, Q. Roo",1909,2023
1650,"Cozumel, Q. Roo",24,2023
1651,"Isla Mujeres, Q. Roo",24,2023
1652,"Othón P. Blanco, Q. Roo",347,2023
1653,"Solidaridad, Q. Roo",166,2023
1654,"Tulum, Q. Roo",13,2023
1657,"Cedral, SLP",5,2023
1658,"San Luis Potosí, SLP",4067,2023
1661,"Ahome, Sin.",3,2023
1662,"Angostura, Sin.",79,2023
1663,"Culiacán, Sin.",11,2023
1664,"Guasave, Sin.",1,2023
1665,"Mazatlán, Sin.",976,2023
1668,"Agua Prieta, Son.",35,2023
1669,"Caborca, Son.",413,2023
1670,"Cajeme, Son.",1039,2023
1671,"General Plutarco Elías Calles, Son.",1432,2023
1672,"Guaymas, Son.",863,2023
1673,"Hermosillo, Son.",9823,2023
1674,"Huatabampo, Son.",1042,2023
1675,"Imuris, Son.",7,2023
1676,"Navojoa, Son.",834,2023
1677,"Nogales, Son.",4084,2023
1678,"Puerto Peñasco, Son.",1,2023
1679,"San Luis Río Colorado, Son.",67,2023
1680,"Santa Ana, Son.",12357,2023
1683,"Balancán, Tab.",1477,2023
1684,"Cárdenas, Tab.",23150,2023
1685,"Centla, Tab.",45,2023
1686,"Centro, Tab.",74160,2023
1687,"Comalcalco, Tab.",334,2023
1688,"Emiliano Zapata, Tab.",6555,2023
1689,"Huimanguillo, Tab.",86684,2023
1690,"Jalapa, Tab.",7564,2023
1691,"Macuspana, Tab.",31739,2023
1692,"Paraíso, Tab.",4,2023
1693,"Tacotalpa, Tab.",9051,2023
1694,"Teapa, Tab.",9916,2023
1695,"Tenosique, Tab.",39620,2023
1698,"Aldama, Tamps.",14,2023
1699,"Altamira, Tamps.",873,2023
1700,"Antiguo Morelos, Tamps.",122,2023
1701,"Camargo, Tamps.",25,2023
1702,"Cruillas, Tamps.",1017,2023
1703,"El Mante, Tamps.",6,2023
1704,"González, Tamps.",8,2023
1705,"Gustavo Díaz Ordaz, Tamps.",18,2023
1706,"Hidalgo, Tamps.",47,2023
1707,"Jaumave, Tamps.",538,2023
1708,"Jiménez, Tamps.",1,2023
1709,"Matamoros, Tamps.",374,2023
1710,"Miguel Alemán, Tamps.",16,2023
1711,"Nuevo Laredo, Tamps.",143,2023
1712,"Padilla, Tamps.",25,2023
1713,"Reynosa, Tamps.",6339,2023
1714,"Río Bravo, Tamps.",50,2023
1715,"San Fernando, Tamps.",703,2023
1716,"Soto la Marina, Tamps.",54,2023
1717,"Tampico, Tamps.",47,2023
1718,"Victoria, Tamps.",33,2023
1721,"Amaxac de Guerrero, Tlax.",1,2023
1722,"Apetatitlán de Antonio Carvajal, Tlax.",321,2023
1723,"Apizaco, Tlax.",133,2023
1724,"Atlangatepec, Tlax.",85,2023
1725,"Calpulalpan, Tlax.",25,2023
1726,"Chiautempan, Tlax.",16,2023
1727,"Cuapiaxtla, Tlax.",46,2023
1728,"Huamantla, Tlax.",1687,2023
1729,"Hueyotlipan, Tlax.",14,2023
1730,"Ixtacuixtla de Mariano Matamoros, Tlax.",2544,2023
1731,"Ixtenco, Tlax.",261,2023
1732,"Muñoz de Domingo Arenas, Tlax.",2,2023
1733,"Nanacamilpa de Mariano Arista, Tlax.",2,2023
1734,"Natívitas, Tlax.",17,2023
1735,"Papalotla de Xicohténcatl, Tlax.",2,2023
1736,"San Jerónimo Zacualpan, Tlax.",4,2023
1737,"San Juan Huactzinco, Tlax.",1,2023
1738,"San Pablo del Monte, Tlax.",2,2023
1739,"Sanctórum de Lázaro Cárdenas, Tlax.",13,2023
1740,"Santa Cruz Quilehtla, Tlax.",9,2023
1741,"Santa Cruz Tlaxcala, Tlax.",2,2023
1742,"Tetla de la Solidaridad, Tlax.",2,2023
1743,"Tlaxcala, Tlax.",3,2023
1744,"Tlaxco, Tlax.",48,2023
1745,"Tocatlán, Tlax.",8,2023
1746,"Tzompantepec, Tlax.",33,2023
1747,"Xaloztoc, Tlax.",2301,2023
1748,"Xaltocan, Tlax.",301,2023
1749,"Yauhquemehcan, Tlax.",98,2023
1750,"Zacatelco, Tlax.",8,2023
1751,"Ziltlaltépec de Trinidad Sánchez Santos, Tlax.",18,2023
1754,"Acayucan, Ver.",36446,2023
1755,"Agua Dulce, Ver.",20,2023
1756,"Álamo Temapache, Ver.",3,2023
1757,"Alvarado, Ver.",59,2023
1758,"Amatlán de los Reyes, Ver.",17,2023
1759,"Angel R. Cabada, Ver.",21,2023
1760,"Camerino Z. Mendoza, Ver.",126,2023
1761,"Carlos A. Carrillo, Ver.",1,2023
1762,"Carrillo Puerto, Ver.",55,2023
1763,"Coatepec, Ver.",1,2023
1764,"Coatzacoalcos, Ver.",316,2023
1765,"Córdoba, Ver.",609,2023
1766,"Cosamaloapan de Carpio, Ver.",3095,2023
1767,"Cosoleacaque, Ver.",20,2023
1768,"Cotaxtla, Ver.",144,2023
1769,"Cuitláhuac, Ver.",1447,2023
1770,"Emiliano Zapata, Ver.",7,2023
1771,"Fortín, Ver.",54,2023
1772,"Gutiérrez Zamora, Ver.",9,2023
1773,"Isla, Ver.",15,2023
1774,"Ixhuatlán del Sureste, Ver.",2,2023
1775,"Ixtaczoquitlán, Ver.",2,2023
1776,"Jesús Carranza, Ver.",5395,2023
1777,"Juan Rodríguez Clara, Ver.",8,2023
1778,"La Antigua, Ver.",160,2023
1779,"Las Choapas, Ver.",300,2023
1780,"Martínez de la Torre, Ver.",15,2023
1781,"Medellín de Bravo, Ver.",27,2023
1782,"Minatitlán, Ver.",10,2023
1783,"Moloacán, Ver.",4202,2023
1784,"Naranjos Amatlán, Ver.",21,2023
1785,"Nogales, Ver.",6,2023
1786,"Orizaba, Ver.",1100,2023
1787,"Ozuluama de Mascareñas, Ver.",74,2023
1788,"Pánuco, Ver.",8,2023
1789,"Papantla, Ver.",48,2023
1790,"Perote, Ver.",2,2023
1791,"Poza Rica de Hidalgo, Ver.",129,2023
1792,"Pueblo Viejo, Ver.",484,2023
1793,"Río Blanco, Ver.",50,2023
1794,"San Andrés Tuxtla, Ver.",102,2023
1795,"San Juan Evangelista, Ver.",1,2023
1796,"Sayula de Alemán, Ver.",9311,2023
1797,"Soledad de Doblado, Ver.",3,2023
1798,"Tecolutla, Ver.",2,2023
1799,"Texistepec, Ver.",7,2023
1800,"Tezonapa, Ver.",6,2023
1801,"Tierra Blanca, Ver.",13,2023
1802,"Tihuatlán, Ver.",35,2023
1803,"Tres Valles, Ver.",2,2023
1804,"Tuxpan, Ver.",218,2023
1805,"Veracruz, Ver.",2063,2023
1806,"Villa Aldama, Ver.",3,2023
1807,"Xalapa, Ver.",103,2023
1808,"Yanga, Ver.",62,2023
1811,"Mérida, Yuc.",930,2023
1812,"Progreso, Yuc.",3,2023
1813,"Valladolid, Yuc.",5,2023
1816,"Calera, Zac.",42,2023
1817,"Jerez, Zac.",3,2023
1818,"Trancoso, Zac.",99,2023
1819,"Zacatecas, Zac.",982,2023
1832,"Aguascalientes, Ags.",103,2024
1833,"Cosío, Ags.",120,2024
1834,"El Llano, Ags.",1,2024
1835,"Jesús María, Ags.",94,2024
1838,"Ensenada, BC",482,2024
1839,"Mexicali, BC",2827,2024
1840,"Playas de Rosarito, BC",17,2024
1841,"San Felipe, BC",2,2024
1842,"San Quintín, BC",33,2024
1843,"Tecate, BC",2457,2024
1844,"Tijuana, BC",25642,2024
1847,"La Paz, BCS",413,2024
1848,"Loreto, BCS",4,2024
1849,"Los Cabos, BCS",66,2024
1852,"Campeche, Camp.",502,2024
1853,"Carmen, Camp.",244,2024
1854,"Escárcega, Camp.",2050,2024
1857,"Acala, Chis.",1,2024
1858,"Acapetahua, Chis.",85,2024
1859,"Arriaga, Chis.",14313,2024
1860,"Berriozábal, Chis.",160,2024
1861,"Catazajá, Chis.",320,2024
1862,"Chenalhó, Chis.",24,2024
1863,"Chiapa de Corzo, Chis.",278,2024
1864,"Cintalapa de Figueroa, Chis.",162,2024
1865,"Comitán de Domínguez, Chis.",7,2024
1866,"Frontera Comalapa, Chis.",16,2024
1867,"Frontera Hidalgo, Chis.",31,2024
1868,"Huehuetán, Chis.",20679,2024
1869,"Huixtla, Chis.",26336,2024
1870,"Jiquipilas, Chis.",2958,2024
1871,"Mazatán, Chis.",23,2024
1872,"Mezcalapa, Chis.",354,2024
1873,"Motozintla, Chis.",1,2024
1874,"Ocosingo, Chis.",1699,2024
1875,"Ocozocoautla de Espinosa, Chis.",1073,2024
1876,"Palenque, Chis.",3527,2024
1877,"Pijijiapan, Chis.",20533,2024
1878,"Salto de Agua, Chis.",9,2024
1879,"San Cristóbal de las Casas, Chis.",3,2024
1880,"Suchiate, Chis.",32270,2024
1881,"Tapachula, Chis.",87845,2024
1882,"Tonalá, Chis.",128,2024
1883,"Tuxtla Chico, Chis.",4291,2024
1884,"Tuxtla Gutiérrez, Chis.",17637,2024
1885,"Unión Juárez, Chis.",4556,2024
1886,"Villa Comaltitlán, Chis.",1178,2024
1889,"Chihuahua, Chih.",671,2024
1890,"Delicias, Chih.",28,2024
1891,"Janos, Chih.",2298,2024
1892,"Juárez, Chih.",2134,2024
1893,"Ojinaga, Chih.",29,2024
1896,"Coyoacán, CDMX",2,2024
1897,"Gustavo A. Madero, CDMX",47,2024
1898,"Iztapalapa, CDMX",4380,2024
1899,"Venustiano Carranza, CDMX",573,2024
1902,"Acuña, Coah.",33,2024
1903,"Monclova, Coah.",3853,2024
1904,"Piedras Negras, Coah.",5104,2024
1905,"Saltillo, Coah.",410,2024
1906,"Torreón, Coah.",1606,2024
1909,"Manzanillo, Col.",3,2024
1912,"Durango, Dgo.",9,2024
1913,"Gómez Palacio, Dgo.",954,2024
1916,"Chalco, Méx.",66,2024
1917,"Chicoloapan, Méx.",3,2024
1918,"Chimalhuacán, Méx.",10,2024
1919,"Coacalco de Berriozábal, Méx.",1,2024
1920,"Cuautitlán Izcalli, Méx.",82,2024
1921,"Cuautitlán, Méx.",2,2024
1922,"Ecatepec de Morelos, Méx.",6,2024
1923,"Huehuetoca, Méx.",2202,2024
1924,"Metepec, Méx.",6,2024
1925,"Naucalpan de Juárez, Méx.",2,2024
1926,"Ocuilan, Méx.",1,2024
1927,"Tenango del Valle, Méx.",1,2024
1928,"Tepotzotlán, Méx.",2061,2024
1929,"Texcoco, Méx.",119,2024
1930,"Tianguistenco, Méx.",2,2024
1931,"Tlalnepantla de Baz, Méx.",37,2024
1932,"Toluca, Méx.",755,2024
1933,"Zinacantepec, Méx.",2,2024
1934,"Zumpango, Méx.",947,2024
1937,"Guanajuato, Gto.",18,2024
1938,"San Diego de la Unión, Gto.",2,2024
1941,"Chilpancingo de los Bravo, Gro.",2,2024
1942,"San Marcos, Gro.",1374,2024
1945,"Actopan, Hgo.",12,2024
1946,"Apan, Hgo.",5,2024
1947,"Atitalaquia, Hgo.",67,2024
1948,"Chapulhuacán, Hgo.",756,2024
1949,"Cuautepec de Hinojosa, Hgo.",2,2024
1950,"El Arenal, Hgo.",4,2024
1951,"Emiliano Zapata, Hgo.",46,2024
1952,"Huichapan, Hgo.",110,2024
1953,"Ixmiquilpan, Hgo.",1,2024
1954,"Mixquiahuala de Juárez, Hgo.",8,2024
1955,"Pachuca de Soto, Hgo.",101,2024
1956,"Progreso de Obregón, Hgo.",8,2024
1957,"Santiago de Anaya, Hgo.",5,2024
1958,"Tepeapulco, Hgo.",5,2024
1959,"Tepeji del Río de Ocampo, Hgo.",7,2024
1960,"Tepetitlán, Hgo.",106,2024
1961,"Tizayuca, Hgo.",72,2024
1962,"Tlahuelilpan, Hgo.",2,2024
1963,"Tlaxcoapan, Hgo.",1,2024
1964,"Tolcayuca, Hgo.",4,2024
1965,"Tula de Allende, Hgo.",25,2024
1966,"Tulancingo de Bravo, Hgo.",27,2024
1967,"Zempoala, Hgo.",2,2024
1970,"Guadalajara, Jal.",24,2024
1971,"Tlajomulco de Zúñiga, Jal.",1,2024
1974,"Lázaro Cárdenas, Mich.",7,2024
1975,"Morelia, Mich.",22,2024
1976,"Zinapécuaro, Mich.",23,2024
1979,"Ayala, Mor.",1,2024
1980,"Coatlán del Río, Mor.",4,2024
1981,"Cuautla, Mor.",280,2024
1982,"Cuernavaca, Mor.",219,2024
1983,"Jantetelco, Mor.",25,2024
1984,"Jiutepec, Mor.",1,2024
1985,"Puente de Ixtla, Mor.",3,2024
1986,"Xochitepec, Mor.",1,2024
1987,"Yautepec, Mor.",2,2024
1990,"Tepic, Nay.",149,2024
1991,"Xalisco, Nay.",5,2024
1994,"Apodaca, NL",1602,2024
1995,"Cadereyta Jiménez, NL",19,2024
1996,"Ciénega de Flores, NL",31,2024
1997,"Galeana, NL",6235,2024
1998,"García, NL",121,2024
1999,"General Bravo, NL",43,2024
2000,"General Escobedo, NL",535,2024
2001,"Guadalupe, NL",38,2024
2002,"Juárez, NL",24,2024
2003,"Linares, NL",2,2024
2004,"Los Ramones, NL",2,2024
2005,"Mina, NL",743,2024
2006,"Montemorelos, NL",1,2024
2007,"Monterrey, NL",231,2024
2008,"Pesquería, NL",21,2024
2009,"Sabinas Hidalgo, NL",1,2024
2010,"Salinas Victoria, NL",41,2024
2011,"Santa Catarina, NL",33,2024
2012,"Santiago, NL",6,2024
2013,"Vallecillo, NL",1,2024
2014,"Villaldama, NL",1,2024
2028,"Asunción Nochixtlán, Oax.",3,2024
2029,"Candelaria Loxicha, Oax.",14,2024
2030,"Ciudad Ixtepec, Oax.",10,2024
2031,"El Espinal, Oax.",13,2024
2032,"Heroica Ciudad de Huajuapan de León, Oax.",2,2024
2033,"Juchitán de Zaragoza, Oax.",299,2024
2034,"La Reforma, Oax.",42,2024
2035,"Matías Romero Avendaño, Oax.",99,2024
2036,"Miahuatlán de Porfirio Díaz, Oax.",3,2024
2037,"Nejapa de Madero, Oax.",3,2024
2038,"Oaxaca de Juárez, Oax.",1815,2024
2039,"Salina Cruz, Oax.",413,2024
2040,"San Agustín de las Juntas, Oax.",6,2024
2041,"San Antonio de la Cal, Oax.",18,2024
2042,"San Bartolo Coyotepec, Oax.",40,2024
2043,"San Carlos Yautepec, Oax.",27,2024
2044,"San Francisco Huehuetlán, Oax.",1,2024
2045,"San Francisco Telixtlahuaca, Oax.",72,2024
2046,"San Jacinto Amilpas, Oax.",26,2024
2047,"San Juan Bautista Cuicatlán, Oax.",9,2024
2048,"San Juan Guichicovi, Oax.",6,2024
2049,"San Miguel del Puerto, Oax.",127,2024
2050,"San Pablo Etla, Oax.",40,2024
2051,"San Pablo Huitzo, Oax.",162,2024
2052,"San Pedro Mixtepec -Dto. 22 -, Oax.",9,2024
2053,"San Pedro Pochutla, Oax.",20,2024
2054,"San Pedro Tapanatepec, Oax.",1013,2024
2055,"Santa Cruz Xoxocotlán, Oax.",390,2024
2056,"Santa Lucía del Camino, Oax.",41,2024
2057,"Santa María Coyotepec, Oax.",14,2024
2058,"Santa María Ecatepec, Oax.",14,2024
2059,"Santa María Huatulco, Oax.",213,2024
2060,"Santa María Jalapa del Marqués, Oax.",237,2024
2061,"Santo Domingo Tehuantepec, Oax.",217,2024
2062,"Teotitlán de Flores Magón, Oax.",6,2024
2063,"Tlacolula de Matamoros, Oax.",505,2024
2064,"Villa de Etla, Oax.",92,2024
2065,"Villa de Zaachila, Oax.",111,2024
2068,"Puebla, Pue.",4354,2024
2071,"Colón, Qro.",67,2024
2072,"Querétaro, Qro.",1964,2024
2073,"San Juan del Río, Qro.",275,2024
2076,"Bacalar, Q. Roo",68,2024
2077,"Benito Juárez, Q. Roo",2232,2024
2078,"Cozumel, Q. Roo",31,2024
2079,"Isla Mujeres, Q. Roo",11,2024
2080,"Othón P. Blanco, Q. Roo",354,2024
2081,"Solidaridad, Q. Roo",243,2024
2082,"Tulum, Q. Roo",6,2024
2085,"San Luis Potosí, SLP",2117,2024
2088,"Ahome, Sin.",50,2024
2089,"Angostura, Sin.",148,2024
2090,"Culiacán, Sin.",1,2024
2091,"Escuinapa, Sin.",297,2024
2092,"Guasave, Sin.",3,2024
2093,"Mazatlán, Sin.",374,2024
2094,"Rosario, Sin.",3,2024
2095,"San Ignacio, Sin.",1,2024
2098,"Agua Prieta, Son.",93,2024
2099,"Altar, Son.",1445,2024
2100,"Caborca, Son.",209,2024
2101,"Cajeme, Son.",142,2024
2102,"Empalme, Son.",393,2024
2103,"General Plutarco Elías Calles, Son.",414,2024
2104,"Guaymas, Son.",1427,2024
2105,"Hermosillo, Son.",4662,2024
2106,"Huatabampo, Son.",1619,2024
2107,"Imuris, Son.",149,2024
2108,"Magdalena, Son.",52,2024
2109,"Navojoa, Son.",330,2024
2110,"Nogales, Son.",1017,2024
2111,"Ónavas, Son.",19,2024
2112,"Opodepe, Son.",828,2024
2113,"Puerto Peñasco, Son.",8,2024
2114,"San Luis Río Colorado, Son.",1,2024
2115,"Santa Ana, Son.",1495,2024
2116,"Tubutama, Son.",19,2024
2119,"Balancán, Tab.",6133,2024
2120,"Cárdenas, Tab.",25912,2024
2121,"Centro, Tab.",107606,2024
2122,"Comalcalco, Tab.",1484,2024
2123,"Emiliano Zapata, Tab.",8140,2024
2124,"Huimanguillo, Tab.",64851,2024
2125,"Jalapa, Tab.",14162,2024
2126,"Jonuta, Tab.",67,2024
2127,"Macuspana, Tab.",45254,2024
2128,"Paraíso, Tab.",1285,2024
2129,"Tacotalpa, Tab.",14778,2024
2130,"Teapa, Tab.",14582,2024
2131,"Tenosique, Tab.",29570,2024
2134,"Altamira, Tamps.",94,2024
2135,"Camargo, Tamps.",1,2024
2136,"Hidalgo, Tamps.",7,2024
2137,"Jaumave, Tamps.",89,2024
2138,"Matamoros, Tamps.",10,2024
2139,"Miguel Alemán, Tamps.",10,2024
2140,"Reynosa, Tamps.",3831,2024
2141,"San Fernando, Tamps.",141,2024
2142,"Tampico, Tamps.",51,2024
2143,"Victoria, Tamps.",22,2024
2146,"Apetatitlán de Antonio Carvajal, Tlax.",247,2024
2147,"Apizaco, Tlax.",203,2024
2148,"Calpulalpan, Tlax.",2,2024
2149,"Chiautempan, Tlax.",2,2024
2150,"Cuaxomulco, Tlax.",727,2024
2151,"Ixtacuixtla de Mariano Matamoros, Tlax.",346,2024
2152,"Ixtenco, Tlax.",4,2024
2153,"La Magdalena Tlaltelulco, Tlax.",5,2024
2154,"Nanacamilpa de Mariano Arista, Tlax.",46,2024
2155,"San Francisco Tetlanohcan, Tlax.",1,2024
2156,"Santa Cruz Quilehtla, Tlax.",2,2024
2157,"Santa Cruz Tlaxcala, Tlax.",42,2024
2158,"Tenancingo, Tlax.",44,2024
2159,"Tetla de la Solidaridad, Tlax.",1,2024
2160,"Tlaxcala, Tlax.",2,2024
2161,"Tlaxco, Tlax.",3,2024
2162,"Totolac, Tlax.",4,2024
2163,"Tzompantepec, Tlax.",10,2024
2164,"Xaloztoc, Tlax.",939,2024
2165,"Xaltocan, Tlax.",42,2024
2166,"Zacatelco, Tlax.",5,2024
2169,"Acayucan, Ver.",12619,2024
2170,"Agua Dulce, Ver.",1522,2024
2171,"Alvarado, Ver.",112,2024
2172,"Amatlán de los Reyes, Ver.",11,2024
2173,"Carlos A. Carrillo, Ver.",27,2024
2174,"Carrillo Puerto, Ver.",64,2024
2175,"Catemaco, Ver.",4,2024
2176,"Coatepec, Ver.",3,2024
2177,"Coatzacoalcos, Ver.",10,2024
2178,"Córdoba, Ver.",159,2024
2179,"Cosamaloapan de Carpio, Ver.",335,2024
2180,"Cosoleacaque, Ver.",141,2024
2181,"Cuitláhuac, Ver.",424,2024
2182,"Isla, Ver.",6,2024
2183,"Ixhuatlán del Sureste, Ver.",10,2024
2184,"Jesús Carranza, Ver.",3077,2024
2185,"Juan Rodríguez Clara, Ver.",4,2024
2186,"Las Choapas, Ver.",522,2024
2187,"Minatitlán, Ver.",5,2024
2188,"Moloacán, Ver.",233,2024
2189,"Nogales, Ver.",4,2024
2190,"Orizaba, Ver.",4,2024
2191,"Poza Rica de Hidalgo, Ver.",21,2024
2192,"Pueblo Viejo, Ver.",120,2024
2193,"Río Blanco, Ver.",179,2024
2194,"San Andrés Tuxtla, Ver.",20,2024
2195,"Sayula de Alemán, Ver.",58,2024
2196,"Tierra Blanca, Ver.",4,2024
2197,"Tuxpan, Ver.",14,2024
2198,"Veracruz, Ver.",79,2024
2201,"Chemax, Yuc.",68,2024
2202,"Halachó, Yuc.",164,2024
2203,"Kantunil, Yuc.",3,2024
2204,"Mérida, Yuc.",538,2024
2205,"Progreso, Yuc.",3,2024
2208,"Calera, Zac.",23,2024
2209,"Fresnillo, Zac.",134,2024
2210,"Guadalupe, Zac.",7,2024
2211,"Trancoso, Zac.",21,2024
2212,"Villa de Cos, Zac.",10,2024
2213,"Zacatecas, Zac.",391,2024
