folio,unidad,trim,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p6,p6_1,p7,p8,p8_1,p9,p9_1_1,p9_1_2,p9_1_3,p9_2,p9_3,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_4c,p11_4t,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_14,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_1_1,p18_1_2_1,p18_1_2_2,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_0_1,p23_0_2,p23_0_3,p23_0_4,p23_0_5,p23_1,p23_2,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_1,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_2_3_1,p34_2_3_2,p34_2_3_3,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p34_12_1,p34_13,p34_14,p35,p36,p37,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,nivel,oficio_mx,filtro,estrato,upm,ponfin3
8709,62209,3,1,1,1,1,19,3,3,-1,2,2,6,2,6,1,-2,1,-3,-3,-3,-3,-3,1,0,1,0,1,2,2,2,2,7,709,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,2,4,1,5,2,1,1705099,1,3,2,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,19,190390001,2,2,2,1,2,2,7,2,9,9014,90140001,2,1,2,2,2,6,1,2,1,2,2,2,2,2,1,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,2,10,2,99999,99,2,19,19039,190390001,2,4,2,3,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,2,2,1,2,2,2,1,2,8,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999998,2,-41,12,1,1,888,8,1,2,1,2,4,0,1,1011,1011062209,82.277251113315
8809,62209,3,1,1,1,1,26,6,1,1,2,2,6,2,1,1,-2,3,1,2,0,1,1,1,1,1,1,1,2,2,2,2,7,703,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,100,4,2,111,3,2,1,2,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,1,2,2,2,2,19,190390001,2,5,50300001,2,2,1,2,2,2,-20,-20,19,19039,190390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,10,2,99999,99,2,5,5025,50250001,2,2,2,4,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,12,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,1,1,99,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,48,1,1,5,6,1,2,1,1,2,0,1,1011,1011062209,82.277251113315
8909,62209,3,1,1,1,1,20,3,3,-1,2,2,6,2,6,2,3,2,0,2,0,1,1,3,0,5,0,2,2,2,2,2,12,1201,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,250,4,2,111,2,2,1,2,2,5,2,1,1217001,2,-15,-15,2,0,-16,-16,-16,-16,6,2,-19,-19,-19,1,2,2,1,2,2,15,150130001,2,7,70890001,2,2,1,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,3,5,99999,99,2,27,27004,270040001,2,4,1,1,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,9,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,36,1,1,10,6,1,2,1,1,4,0,1,1011,1011062209,82.277251113315
9009,62209,3,1,1,1,1,24,6,1,1,2,2,6,2,1,1,-2,3,1,2,0,1,1,1,1,5,1,1,2,2,2,2,8,803,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,130,4,2,111,1,2,1,96,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,19,190390001,2,5,50170001,2,2,2,2,2,2,-20,-20,19,19039,190390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,18,2,99999,99,2,5,5017,50170001,2,4,1,1,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,8,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,39,1,1,5,6,1,2,1,1,2,0,1,1011,1011062209,82.277251113315
9407,272207,3,1,1,1,1,26,6,1,1,2,2,6,2,1,1,-2,5,2,3,0,1,1,1,1,5,1,1,2,2,2,2,5,501,2,2,1,104,1,-8,-8,-8,-8,-8,-8,8,6,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,250,4,2,111,2,2,1,96,2,5,2,1,1217001,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,30,300030001,2,2,2,2,2,2,-20,-20,7,7009,70090001,2,2,2,2,2,-21,1,1,1,2,2,2,1,2,5,1,2,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,2,1,19,2,7500,4,1,20,20005,200050033,1,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,2,2018,1,2018,4,2018,0,-36,-36,-37,-37,-37,-37,-37,8,50250001,2,-41,48,1,1,3,6,2,-43,1,2,2,0,1,1011,1011272207,179.393792159567
10007,272207,3,1,1,1,1,20,3,1,1,2,2,4,2,6,2,2,5,1,4,0,2,2,1,0,1,0,1,2,2,2,2,16,1613,2,2,16,1613,2,-8,-8,-8,-8,-8,-8,777,7,1,-10,1,-12,631,2,2,2,2,2,2,2,2,2,9,7,4500,4,3,237,3,2,2,1,1,5,2,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,99,70890001,2,1,1,1,2,2,6,2,7,7089,70891037,1,2,1,2,2,8,1,1,1,2,2,2,1,2,2,1,2,1,1,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,10,2,400,2,2,98,99998,999999998,98,4,1,3,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,5,2,1,2,2,1,1,1,1,2,2,3,2,1,2,2,2,2,2,2,2,1,2,-32,2,-33,1,2022,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,97,2,-42,888,8,1,2,1,1,1,0,1,1011,1011272207,179.393792159567
12508,52208,3,1,1,1,1,40,4,1,1,2,2,6,2,1,1,-2,4,2,2,0,1,1,1,1,5,1,2,2,2,2,2,8,806,1,2,5,511,1,-8,-8,-8,-8,-8,-8,13,6,1,-10,1,-12,712,2,2,2,2,2,2,2,2,2,8,6,1000,4,3,236,2,2,1,96,2,4,2,1,1217001,2,-15,-15,2,1,0,-17,-17,-17,3,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,-998,1,1011,1011052208,387.878469534199
12907,282207,3,1,1,1,1,23,3,1,1,2,2,6,2,1,1,-2,6,4,2,0,2,1,1,1,1,1,1,2,2,2,2,16,1603,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,814,2,2,2,2,2,2,2,2,2,12,6,4000,4,3,321,1,2,1,2,2,5,2,1,1705099,2,-15,-15,1,1,1,3,-18,-18,3,2,-19,-19,-19,1,2,2,2,2,2,17,170170001,2,99,999999999,99,1,1,1,2,2,1,2,99,99999,999999999,99,2,1,1,2,6,2,-22,-22,-22,-22,-22,-22,-22,-22,1,1,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,4,1,25,2,4000,4,2,27,99997,999999998,98,5,1,4,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,8,2,1,2,1,1,1,1,1,1,2,3,2,1,2,2,2,2,2,2,2,1,2,-32,1,6,5,2015,4,2015,7,2022,2,2,8,-37,-37,-37,-37,-37,1,20020001,2,-41,98,2,-42,888,8,1,2,1,2,1,0,1,1011,1011282207,129.292823178066
13407,282207,3,1,1,1,1,19,3,2,-1,2,2,6,2,6,2,2,7,3,4,0,1,2,1,0,1,0,2,2,2,2,2,16,1603,1,2,16,1603,1,-8,-8,-8,-8,-8,-8,777,7,1,-10,2,1,814,1,2,2,2,2,2,2,2,2,8,6,1300,4,3,321,1,2,2,96,2,5,2,1,1705099,2,-15,-15,2,1,0,-17,-17,-17,0,2,-19,-19,-19,2,2,2,2,2,2,7,70650001,2,7,70270001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,18,2,3500,4,2,30,30174,301740001,2,5,1,2,1,2,2,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,8,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,20020001,2,-41,97,2,-42,888,8,2,-43,1,2,3,0,1,1011,1011282207,129.292823178066
14107,282207,3,1,1,1,1,46,3,1,1,2,2,2,2,1,1,-2,4,2,2,0,2,1,1,2,3,2,2,2,2,2,2,18,1804,1,4,-6,-6,-6,5,5025,50250001,2,-9,-9,20,6,1,-10,1,-12,731,1,2,2,1,1,2,2,2,2,8,6,4500,1,3,337,1,1,1,2,2,5,2,1,1705015,1,5,2,2,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,5,50250001,2,19,190390001,2,2,2,2,2,2,-20,-20,5,5025,50250001,2,2,2,2,2,-21,1,2,1,2,2,2,2,2,6,1,1,2,-24,2,-25,2,-26,2,1,5,5025,50250001,2,15,6,731,337,1,1,20,6,99997,97,1,5,5025,50250001,2,4,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,1,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,3,1998,99,9999,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,48,1,1,5,6,2,-43,1,2,1,2, ,1011,1011282207,129.292823178066
14207,282207,3,1,1,1,1,51,3,2,-1,2,2,6,2,1,1,-2,5,0,4,1,2,1,1,1,1,1,2,2,2,2,2,5,511,99,2,5,505,99,-8,-8,-8,-8,-8,-8,777,7,1,-10,1,-12,411,6,2,2,2,2,2,2,2,2,8,7,0,0,0,463,2,2,1,4,2,5,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,1,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,24,240280001,2,2,2,2,2,2,-20,-20,5,5025,50250001,2,2,2,2,2,-21,1,2,1,2,2,2,2,2,5,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,5,1,7,5,99997,97,2,5,5025,50250001,2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,39,1,1,4,6,1,2,1,2,3,0,1,1011,1011282207,129.292823178066
14407,282207,3,1,1,1,1,21,6,1,1,2,2,6,2,6,2,2,5,1,4,0,2,2,1,0,1,0,1,2,2,2,2,4,419,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,1,2,1,2,1,5,2,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70690001,2,7,70890001,2,2,2,2,2,2,-20,-20,7,7069,70690001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,3,2000,4,1,7,7069,70690001,2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280270001,2,-41,48,1,2,777,7,1,2,1,1,2,0,1,1011,1011282207,129.292823178066
14408,82208,3,1,1,1,1,22,6,1,1,2,2,6,2,1,1,-2,5,1,4,0,3,2,1,1,1,1,1,2,2,2,2,8,801,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,721,2,1,1,2,2,2,2,2,2,8,6,500,4,2,811,2,2,1,4,2,5,2,1,1312047,2,-15,-15,1,2,0,-17,-17,-17,3,2,-19,-19,-19,1,2,2,2,2,2,28,280320001,2,99,999999999,99,1,2,1,2,2,6,2,28,28032,999999999,99,2,2,2,2,-21,1,2,1,2,2,1,2,2,4,1,2,2,-24,2,-25,2,-26,1,2,-27,-27,-27,-27,-27,-27,-27,-27,2,1,8,2,10000,4,2,28,28032,280320001,2,6,2,2,1,2,1,2,1,1,2,-30,-30,-30,1,2,2,2,2,2,1,2,10,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,-32,1,1,1,2020,1,2020,6,2022,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,32,1,1,3,6,1,2,1,2,2,0,1,1011,1011082208,362.019904898586
15507,292207,3,1,1,1,1,21,3,2,-1,2,2,6,2,6,2,2,3,0,3,0,2,2,1,0,1,0,1,2,2,2,2,5,511,1,2,14,1415,1,-8,-8,-8,-8,-8,-8,18,6,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,200,4,2,111,2,2,2,1,2,5,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,24,240280001,2,19,190390001,2,2,2,2,2,2,-20,-20,24,24028,240280001,2,2,2,2,2,-21,1,1,2,2,2,2,2,2,1,1,2,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,5,7000,4,1,24,24028,240280001,2,4,1,3,1,2,2,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280270001,2,-41,45,1,2,4,6,1,2,1,2,3,0,1,1011,1011292207,297.373493309553
15508,92208,3,1,1,1,1,35,6,1,1,2,2,6,2,1,1,-2,5,1,4,0,1,1,1,1,1,1,2,2,2,2,2,8,817,1,2,8,801,2,-8,-8,-8,-8,-8,-8,777,7,1,-10,1,-12,712,2,2,2,2,2,2,2,2,2,8,6,300,4,2,236,2,2,1,96,2,5,2,1,1705099,2,-15,-15,1,1,0,-17,-17,-17,3,2,-19,-19,-19,2,2,2,2,2,2,7,70650001,2,7,70090001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,1,2,2,2,2,1,2,2,5,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,4,1,30,2,8000,4,1,30,30174,301740001,2,5,1,2,2,2,2,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,3,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,0,1,1011,1011092208,155.690107910255
15608,92208,3,1,1,1,1,21,6,1,1,2,2,6,2,6,2,2,4,1,3,0,2,1,1,0,1,0,1,2,2,2,2,14,1413,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,933,2,2,2,2,2,2,2,2,2,8,6,8000,4,5,111,2,2,2,1,2,5,2,1,1705099,2,-15,-15,1,1,0,-17,-17,-17,0,2,-19,-19,-19,1,1,2,2,2,2,30,301740001,2,19,190390001,2,2,2,1,2,2,7,2,30,30174,301740001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,9,2,30000,4,1,5,5025,50250001,2,5,2,3,2,2,2,2,2,2,3,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,9,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,48,1,1,888,8,1,2,1,2,2,0,1,1011,1011092208,155.690107910255
15908,92208,3,1,1,1,1,28,6,1,1,2,2,6,2,1,1,-2,3,1,2,0,1,1,1,1,1,1,1,2,2,2,2,8,803,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,7,7,150,4,2,111,1,2,1,2,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,1,2,2,2,2,30,300320001,2,7,70090001,2,2,2,2,2,2,-20,-20,8,99999,999999998,98,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,-998,1,1011,1011092208,155.690107910255
16008,92208,3,1,1,1,1,35,1,2,-1,2,2,6,2,1,1,-2,4,2,2,0,2,1,1,1,1,1,1,1,2,2,2,14,1401,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,4,1,2,2,2,2,2,2,2,6,6,200,4,2,111,3,2,1,2,2,5,2,1,1312047,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,28,999999999,99,99,999999999,99,1,2,2,2,2,-20,-20,15,15056,999999998,98,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,5,2000,1,2,5,5025,50250001,2,4,1,3,1,2,2,2,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,1,3,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999999,2,-41,48,1,1,5,6,2,-43,1,2,3,0,1,1011,1011092208,155.690107910255
16508,92208,3,1,1,1,1,32,2,2,-1,2,2,6,2,6,2,2,5,0,4,1,0,2,1,0,1,0,1,2,2,2,2,8,803,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,1,2,1,96,2,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,1,1,99999,99,99,2,2,2,2,2,2,30,301740001,2,7,70780001,2,2,2,2,2,2,-20,-20,30,30174,301740001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,1,7,7077,70770001,1,999,99,923,312,1,1,35,2,9000,4,1,30,30118,301180001,2,4,1,1,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,48,1,2,888,8,1,2,1,1,3,2,1,1011,1011092208,155.690107910255
