folio,unidad,trim,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p6,p6_1,p7,p8,p8_1,p9,p9_1_1,p9_1_2,p9_1_3,p9_2,p9_3,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_4c,p11_4t,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_14,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_1_1,p18_1_2_1,p18_1_2_2,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_0_1,p23_0_2,p23_0_3,p23_0_4,p23_0_5,p23_1,p23_2,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_1,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_2_3_1,p34_2_3_2,p34_2_3_3,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p34_12_1,p34_13,p34_14,p35,p36,p37,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,nivel,oficio_mx,filtro,estrato,upm,ponfin3
16708,92208,3,1,1,1,2,19,2,2,-1,2,2,6,2,6,2,2,5,1,3,1,1,2,1,0,5,0,1,2,2,2,2,4,406,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,1,2,1,96,2,5,2,1,1705016,2,-15,-15,1,0,-16,-16,-16,-16,0,1,4000,2,7,1,2,2,2,2,2,27,270040001,2,30,300390001,2,2,2,2,2,2,-20,-20,30,30039,300390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,16,2,2000,4,1,28,28007,280070001,1,3,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,18,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,1,1,34,1,1,8,6,1,1,-44,-44,3,0,1,1011,1011092208,101.334403811524
21509,132209,3,1,1,1,1,19,3,2,-1,2,2,6,2,6,2,2,5,2,3,0,3,2,1,0,5,0,1,2,2,2,2,13,1303,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,1,2,2,1,2,5,2,1,1705099,2,-15,-15,1,1,0,-17,-17,-17,3,2,-19,-19,-19,1,1,2,2,2,2,7,999999999,99,97,999999997,97,1,2,2,2,1,-20,-20,9,9007,999999998,98,2,2,2,2,-21,1,2,1,2,2,2,2,2,5,1,2,2,-24,2,-25,2,-26,1,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,5,18000,4,1,19,19039,999999999,99,4,1,2,1,2,1,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,10,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,1,3,12,1,1,888,8,1,2,1,2,3,0,1,1011,1011132209,210.100837664358
24609,162209,3,1,1,1,2,19,3,2,-1,2,2,6,2,6,2,2,3,1,2,0,1,2,1,0,5,0,1,2,2,2,2,2,209,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,5,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2,2,4,96,2,5,2,1,1705099,2,-15,-15,1,1,0,-17,-17,-17,3,1,10000,2,7,1,2,1,2,2,2,7,70190001,2,9,90070001,2,2,1,2,2,2,-20,-20,7,7032,999999997,97,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,16,2,99999,99,1,28,28032,280320001,2,4,1,3,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,1,1,99,1,1,777,7,1,1,-44,-44,3,0,1,1011,1011162209,43.2453626415961
25309,162209,3,1,1,1,1,24,3,2,-1,2,2,6,2,6,2,2,4,99,99,99,2,2,1,0,1,0,1,2,2,2,2,5,511,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,1,2,1,96,2,5,2,1,1705015,1,7,3,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,28,280320001,2,2,20020185,2,2,2,2,2,2,-20,-20,28,28032,280320001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,4,2,5500,4,1,28,28032,280320001,2,6,1,3,1,1,1,1,1,1,2,-30,-30,-30,1,1,1,2,2,2,1,2,6,2,1,1,1,1,1,1,1,2,2,3,2,1,2,2,1,2,2,1,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,1,2,3,-37,-37,-37,-37,-37,1,280320001,2,-41,48,1,2,777,7,1,2,1,2,3,0,1,1011,1011162209,66.4421452442841
25409,162209,3,1,1,1,1,21,2,2,-1,2,2,6,2,6,2,2,3,1,1,1,2,2,3,0,1,0,1,2,2,2,2,4,412,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,4,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,1,2,3,1,1,5,2,1,1705015,2,-15,-15,1,0,-16,-16,-16,-16,4,2,-19,-19,-19,1,2,2,2,2,2,25,999999999,99,28,280320001,2,2,2,2,2,2,-20,-20,28,28032,280320001,2,2,1,2,2,6,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,3,2,5000,4,2,28,28032,280320001,2,6,1,3,1,2,1,1,1,1,2,-30,-30,-30,1,1,1,2,2,2,1,2,4,2,1,1,2,1,1,2,2,2,2,3,2,1,2,1,1,2,2,1,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,3,280320001,2,-41,22,1,1,777,7,1,2,1,1,3,0,1,1011,1011162209,66.4421452442841
25508,112208,3,1,1,1,2,24,6,1,1,2,2,6,2,6,2,2,8,2,6,0,2,2,1,0,1,1,1,2,2,2,2,4,409,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,1,96,2,5,2,1,9999997,2,-15,-15,2,1,1,3,-18,-18,0,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,97,999999997,97,2,2,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,3,2,3000,4,2,30,30193,301930001,2,4,1,5,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999997,2,-41,97,2,-42,5,6,1,2,1,1,2,0,1,1011,1011112208,191.448389207931
25509,162209,3,1,1,1,1,24,3,2,-1,2,2,6,2,6,2,2,4,0,3,1,2,2,1,0,1,0,1,2,2,2,2,5,501,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,4,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,1,2,1,96,1,5,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,19,190390001,2,23,230080001,2,2,2,2,2,2,-20,-20,19,19039,190390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,15,2,5000,2,1,28,28032,280320001,2,6,1,3,1,1,1,1,1,1,2,-30,-30,-30,1,1,1,2,2,2,1,2,7,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,-32,2,-33,0,-34,1,2022,8,2022,1,2,8,-37,-37,-37,-37,-37,1,280320001,2,-41,48,2,-42,10,6,1,2,1,2,3,0,1,1011,1011162209,66.4421452442841
27609,162209,3,1,1,1,1,25,6,1,1,2,2,6,2,6,1,-2,1,-3,-3,-3,-3,-3,1,0,5,0,1,2,2,2,2,5,511,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,1,96,1,5,2,1,1217001,2,-15,-15,1,2,0,-17,-17,-17,0,2,-19,-19,-19,1,2,2,1,2,2,8,999999997,97,7,70650001,2,1,2,2,2,2,-20,-20,28,28032,280320001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,15,2,6000,4,1,28,28032,280320001,2,6,1,2,1,1,1,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,10,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,48,1,1,777,7,1,2,1,1,2,0,1,1011,1011162209,66.4421452442841
27709,162209,3,1,1,1,1,23,3,2,-1,2,2,6,2,6,2,2,6,1,3,2,2,2,1,0,5,0,1,2,2,2,2,8,801,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,1,96,2,5,2,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,3,1,10000,2,5,1,2,2,1,2,2,7,70650001,2,19,190390001,2,1,1,2,2,2,-20,-20,28,28032,280320001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,2,3,10000,2,1,28,28032,280320001,2,6,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,7,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,1,2,5,-37,-37,-37,-37,-37,1,280320001,1,1,48,1,1,777,7,1,2,1,1,3,0,1,1011,1011162209,66.4421452442841
27809,162209,3,1,1,1,1,28,3,2,-1,2,2,6,2,6,1,-2,1,-3,-3,-3,-3,-3,1,0,5,0,1,2,2,2,2,5,508,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,1,96,1,5,2,1,1215013,2,-15,-15,1,1,0,-17,-17,-17,3,2,-19,-19,-19,1,2,2,1,2,2,7,70650001,2,19,190390001,2,1,2,2,2,2,-20,-20,28,28032,280320001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,12,2,4500,4,2,28,28032,280320001,2,6,1,2,1,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,10,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,12,1,1,777,7,1,2,1,1,3,0,1,1011,1011162209,66.4421452442841
27909,162209,3,1,1,1,2,24,3,2,-1,2,2,6,2,6,2,2,4,1,3,0,1,2,1,0,1,0,1,2,2,2,2,4,404,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,1,2,1,96,1,5,2,1,1312047,2,-15,-15,1,0,-16,-16,-16,-16,3,1,10000,4,1,1,2,2,1,2,2,21,210150031,2,7,70520001,2,1,1,2,2,2,-20,-20,28,28032,280320001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,20,2,15000,4,1,28,28032,280320001,2,6,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,10,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,2,2018,8,2022,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,1,1,48,1,1,777,7,1,2,1,1,3,0,1,1011,1011162209,43.2453626415961
28009,162209,3,1,1,1,1,24,3,1,1,2,2,6,2,6,2,2,6,2,2,2,2,2,1,0,5,0,1,2,2,2,2,1,101,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,1,2,1,96,1,5,2,1,1705015,2,-15,-15,1,0,-16,-16,-16,-16,3,1,6000,2,7,1,2,2,2,2,2,6,60020001,2,7,70400001,2,1,2,2,2,2,-20,-20,28,28032,280320001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,7,2,6000,2,1,28,28032,280320001,2,6,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1,2,-32,2,-33,0,-34,1,2022,8,2022,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,1,1,48,1,1,10,6,1,2,1,1,1,0,1,1011,1011162209,66.4421452442841
31008,122208,3,1,1,1,1,29,2,1,1,2,2,6,2,6,2,5,7,1,5,1,2,2,0,0,3,0,2,2,2,2,2,6,607,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,20,6,1,-10,1,-12,721,2,2,2,2,2,2,2,2,2,7,6,500,4,2,811,3,2,1,2,1,5,2,1,1217001,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,28,280220001,2,28,280400001,2,1,1,2,2,2,-20,-20,28,28022,999999998,98,2,2,2,2,-21,1,2,1,2,2,2,2,2,7,2,-23,2,-24,2,-25,2,-26,2,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,-998,1,1011,1011122208,132.525143757518
31308,122208,3,1,1,1,1,20,4,1,1,2,2,6,2,6,2,2,6,2,4,0,2,2,1,0,1,0,2,2,2,2,2,8,807,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,1,2,1,2,1,5,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,7,70090001,2,30,300390001,2,2,1,2,2,2,-20,-20,30,30039,300390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,3,2000,4,1,30,30039,300390001,2,4,1,3,2,2,2,2,2,2,2,-30,-30,-30,1,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,-32,1,1,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280270001,2,-41,34,1,2,888,8,1,1,-44,-44,1,0,1,1011,1011122208,132.525143757518
36508,162208,3,1,1,1,2,27,3,2,-1,2,2,6,2,1,2,2,4,1,3,0,2,2,1,1,1,1,1,1,2,1,2,4,401,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,421,1,2,2,2,2,2,2,2,2,12,6,8000,4,5,468,2,2,1,2,2,5,2,1,1217001,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,13,130160001,2,9,90140001,2,1,1,2,2,2,-20,-20,5,5025,50250001,2,2,2,2,2,-21,1,2,1,1,2,2,2,2,1,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,10,2,6000,4,1,5,5025,50250001,2,6,1,2,1,1,1,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,12,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,-32,2,-33,999,9999,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,36,1,1,5,6,2,-43,1,2,3,0,1,1011,1011162208,30.6011411321368
36608,162208,3,1,1,1,1,21,3,2,-1,2,2,6,2,6,2,2,6,3,3,0,2,2,1,0,1,0,1,1,2,1,2,8,801,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,8,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,1,2,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,9,90160001,2,7,71080001,2,1,1,2,2,2,-20,-20,19,19039,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,30,2,10,4,1,5,5025,50250001,2,4,1,3,1,1,1,2,1,1,2,-30,-30,-30,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,0,1,1011,1011162208,47.0155720647514
36708,162208,3,1,1,1,1,40,5,1,1,2,2,6,2,1,1,-2,5,0,5,0,2,2,1,1,1,1,2,2,2,2,2,3,301,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,933,2,2,2,2,2,2,2,2,2,8,6,1500,4,3,467,2,2,1,2,2,5,2,1,1312047,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,99,70890001,2,1,2,2,2,2,-20,-20,7,7089,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,15,2,5000,4,2,28,28032,999999999,99,4,1,3,1,2,1,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,8,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280320001,2,-41,34,1,2,888,8,1,2,1,2,1,0,1,1011,1011162208,47.0155720647514
37008,162208,3,1,1,1,1,31,2,1,1,2,2,6,2,6,1,-2,1,-3,-3,-3,-3,-3,0,0,1,0,1,2,2,2,2,4,406,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,731,2,2,2,2,2,2,2,2,2,8,6,400,4,2,337,4,2,1,2,2,4,2,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,20,200140001,2,2,2,2,2,2,-20,-20,99,99999,999999999,99,2,2,2,2,-21,1,1,1,1,1,2,1,2,1,2,-23,2,-24,2,-25,2,-26,2,1,23,23005,230050001,2,6,6,923,337,1,2,7,6,99999,99,2,11,11015,110150001,2,4,1,1,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,2,2,2,2,-31,-31,-31,-31,15,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,1,2,-38,1,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,1,2,1,1011,1011162208,47.0155720647514
37108,162208,3,1,1,1,1,29,6,1,1,2,2,6,2,1,1,-2,4,2,2,0,1,1,1,1,1,1,1,2,2,2,2,12,1205,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,100,4,2,111,3,2,1,2,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,27,270040001,2,19,190390001,2,2,1,2,2,2,-20,-20,19,19039,190390001,2,1,2,2,2,6,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,12,2,1500,4,2,19,19039,190390001,2,4,1,4,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,12,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,-32,1,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,0,1,1011,1011162208,47.0155720647514
