name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Grupo Beta Mexicali,Grupos Beta,,,,OSC / ONG,"Av. Melgar No. 1, Garita Internacional, Zona Centro, C.P. 21100, Mexicali, B.C.",Directorio OIM
Grupo Beta Tecate,Grupos Beta,,,,OSC / ONG,"Calle 18, esq. con Tanamá s/n, Col. Bella Vista, C.P. 21440, Tecate, B.C.",Directorio OIM
Grupo Beta Tijuana,Grupos Beta,,,,OSC / ONG,"Boulevard Insurgentes No. 16000, Col. Los Álamos, C.P. 22110, Tijuana, Baja California.",Directorio OIM
Grupo Beta Arriaga,Grupos Beta,,,,OSC / ONG,"4ta Calle Sur No. 108-B, entre Av. Ferrocarril y 1ra Poniente, Col. Centro, C.P. 30450, Arriaga, Chiapas.",Directorio OIM
Grupo Beta Comitán,Grupos Beta,,,,OSC / ONG,"Calle Central Poniente, Benito Juárez No. 130, esq. con 9na Poniente, Col. Barrio Candelaria, C.P. 30060, Comitán de Domínguez, Chiapas.",Directorio OIM
Grupo Beta Palenque,Grupos Beta,,,,OSC / ONG,"Carretera Palenque - Playas de Catazajá, Ocosingo, Km 26 + 100, Lado A, Col. Guayacán, C.P. 29960, Palenque, Chiapas",Directorio OIM
Grupo Beta Tapachula,Grupos Beta,,,,OSC / ONG,"Calle Vialidad No. 435, Fracc. Las Vegas, C.P. 30798, Tapachula, Chiapas.",Directorio OIM
Grupo Beta Tuxtla Gutiérrez,Grupos Beta,,,,OSC / ONG,"5ta Norte esq. 13 Poniente No. 1402 Col. El Magueyito, C.P. 29000, Tuxtla Gutiérrez, Chiapas",Directorio OIM
Grupo Beta San Luis Río Colorado,Grupos Beta,,,,OSC / ONG,"Av. Zaragoza No. 2708, entre Calle 27 y 28, Col. Burócratas, C.P. 83450, San Luis Río Colorado, Sonora.",Directorio OIM
Grupo Beta Sásabe,Grupos Beta,,,,OSC / ONG,"Puerta de Entrada, Garita de México s/n, Col. Solidaridad, C.P. 87870, Sásabe, Sonora.",Directorio OIM
Grupo Beta Sonoyta,Grupos Beta,,,,OSC / ONG,"Puerta Internacional Benemérito de las Américas y Línea Internacional No. 285, Col. Hombres Blancos, C.P. 83570, Sonoyta, Sonora.",Directorio OIM
Grupo Beta Tenosique,Grupos Beta,,,,OSC / ONG,"Calle 25 No. 638 entre la 46 y 50, Col. Cocoyol, C.P. 86902, Tenosique, Tabasco.",Directorio OIM
Grupo Beta Matamoros,Grupos Beta,,,,OSC / ONG,"Av. Álvaro Obregón s/n, Col. Jardín, Puente Internacional Puerta México, 1er. Piso, C.P. 87330, H. Matamoros, Tamaulipas.",Directorio OIM
Grupo Beta Acayucan,Grupos Beta,,,,OSC / ONG,"Carretera Costera del Golfo No. 180, Km 221, Col. Tecuanapa, C.P. 96000, Acayucan, Veracruz.",Directorio OIM
Grupo Beta CDMX,Grupos Beta,,,,OSC / ONG,"Blvd. Adolfo López Mateos 3325, piso 5., San Jerónimo Lídice, Ciudad de México. C.P. 10200",Directorio OIM